barcode,product_name,brands
8906115882079,Galleta Rocco Fresa,
8906115882086,Galleta Rocco Vainilla,
8904137495093,Atta cookies,
8904132942349,Good Life Sharbati Wheat 10 KG Bag,Good Life
8908000117303,Parivaar Premium Lokwan Wheat 30 Kg,Unknown Brand
8908000117327,Masti Sihori Wheat 30 Kg Bag,Dharmesh
7989314079625,,
8904132944343,Good Life Toor Arhar Dal 5 Kg Bag,Good Life
3960270943421,Good Life HMT Kolam Rice 10 Kg,
8901192215802,,
8901042955100,Mango Thokku,MTR
8909081011436,Aashirwad Shudh Chakki Atta 10 kg Bag,
8909081011429,Aashirwad Shudh Chakki Atta 5 Kg Bag,
0920455441527,Organic Tattva Multigrain Flour 5 KG,
8906055440223,Organic Tattva Whole Wheat Flour 5 Kg Bag,
8904132942363,Good Life Sharbati Wheat,
8901063142893,Nutri choice orange 67g,
8904083322573,,
0726529581058,Brown Bread,Star
0785034813283,,
8906169550511,Cornichons recette rustique,
19061934,,
89005552,3 Cheese Alpine-Style Shredded Cheese Blend,Roth
8999999401252,dan temukan DIDAUR ULANG BE NI KOTOR DEMI Sen R Code berikut,
8906119643805,,
8904132912830,Aloo Bhujia,Snac tac
8908026791501,Potato Chips,Troovy
0946551142687,Triple Strength Omega 3,TATA 1mg
8906151142687,Triple Strength Omega 3,TATA 1mg
8906077362190,,
8906084522181,High Protein Paneer (50g),Desi Farms
5864285760692,,
4897036696040,"Predator Energy, Gold Strike",Monster Energy
8904051325063,Malabar Porotta,Vembanadu
8908001576307,Badam patisa,
8908026778021,Mattanchere Spice Plum Cake,Pandhal
8906199680905,Whey Protein Isolate (Unflavoured),The Func Lab
5065024144029,SAP 40,SAP
8908009082299,panipuri,
8908020616152,ynot jujube,Unknown Brand
8906006752689,Malto Vitaa Chocolate Satisfaction,Milkose
2000000131241,Shami Kabab,Vezlay Food Pvt Ltd.
6003770030370,Nando peri peri sauce medium 250 g,
94146448,Britannia pure magic,
8901148258600,Atex,
8906117004561,,
8906076275781,,
8901088001724,,
8904043501031,Whole Wheat Bread,Bakers Loaf
8901777349083,Tamarind Rice,Vadilal
8908022361302,Cold Pressed White Sesame Oil,Kachi Ghaani
8904057302525,,
8906066200090,Paneer Chilli Masala,Keya
8901888005717,Lemoneez,Dabur
8904132913288,sun crush,
8901063142862,Nutri Choice Biscuits,Britannia
8906038740821,קחי תירס מתוקים מבושלים,לירון
0799653261141,Cccccc,
8908009059710,Zero Maida Atta Bread,The Health Factory
8901499011367,Chocos variety pack 7 packs,Kellogg's
8906004564741,Chips Piri Piri Flavour,Yellow Diamond
8902080100415,Adrenaline Rush Ultimate Performance Energy Drink,Pepsico
8906092490335,,
8904004402377,,Haldiram's
8904132934627,Get real pears,
8906031934876,,
8906087771814,Mamaearth onion conditioner,
8901246001467,Cream Style Corn,Green giant
4906292275187,Fortune atta 5kg,
8908000117310,Masti Lokwan Wheat 30 Kg,
17418247,Ashirvad atta 5kg,
8908000117297,Parivaar Premium Sihori Wheat 30 kg,Parivaar
8908000117150,Masti Lokwan Wheat 10 Kg,
8901552025027,Madaras,
8901595852338,Green chilli sauce,
8904051326565,Keralla Mixture,
8904374500420,Premium Malai kulfi,
8904062524417,plain bhunia,Haldiram's
8907970002169,Gemini Refined Sunflower Oil 800 gm pouch,
6667499672596,Gemini Refined Sunflower Oil 800Gm pouch,
8906191580111,Sunny Sun Lite Oil 4.30 Kg,Sunny
8902901028331,Good Life Refined Sunflower Oil 4.55 Kg,Good Life
