barcode,product_name,brands,categories,ingredients_text
0200043820126,PRINGLES,PRINGLES,,
0200488860001,"Konsumsl sebelum :01 NOV, 23:02",,,
02011150,nan,,,
0209444847206,Wai wai RTE veg noodles,Wai wai,,
02105871,nan,,,
0216305691557,Munch choclate bar,,,
02200929,Nutrilite All Plant Protein Powder,,Dietary supplements,
02208001,HANS,,,
0222299888866,nan,Unknown Brand,Ketchup de tomate,
0224329002938,Maheshwari Imli sauce,,,
0227809989040,PRINGLES,PRINGLES,,
02300228,nan,,,
0230826705517,Britannia cheese spread,,,
02328302,nan,,,
0235503595665,ching's Manchurian instant noodles,,,
02401193,nan,,,
02412418,Organic tattva white basmati rice 1 kg,,,
0241622543128,Popcorn act 2,Act 2,,
0242020900155,nan,,,
0245406100408,nan,,,
0246950304625,nan,,,
02542221,nan,,,
0265152002672,Best Before: Crimp See on MRP: (nclusive of all taxes) (nclusive of fall taxes),,,
0266680572200,nan,,Food,
02691331,nan,,,
0276881051244,Mother sweet lime pickle,,,
02829180,nan,,,
0284803691546,ketchup,noor,,
03000078,KVTR Foods Sprouted Porridge Mix (mulapicha kanji koottu),KVTR Foods,Porridge,
0300447121314,nan,,,
0300450449092,nan,,,
0300676270401,nan,,,
0300875127650,enfagrow essential 3,,,
03010643,ANWAR Life,Unknown Brand,snacks,
0306026061002,nan,,,
03096857,nan,,,
0314440702555,Sweet And Spicy Sauce,Kissan,,
03235609,Mukti Gold Pearly Bodywash,,,
03255268,nan,,,
0336589311238,nan,Unknown Brand,,
03442409,Perk 20,,,
03466261,nan,,,
03492222,nan,,,
0349804031729,Max Salted Caramel Flavoured Yoghurt,Moo Pro,,
0356995203200,Pulpy,,,
0357509299993,Gopal Bhavnagari Gathiya,gopal,,
0361171227987,nan,,Biscuit mixes,
03650681,nan,,,
03665510,Red Masala Peanuts,SGR,,
0372710881010,nan,,Jaggery,
03743386,Hersheys' cocoa,,,
03771420,noodelS,Golden,,
0389000648765,nan,Nestlé,,
03908778,changes around us,,,
03911219,Pillsbury chakki fresh atta 1kg,,,
03914119,nan,,,
0400008023153,Patanwala Cow ghee,Patanwala,"Dairies,Fats,Spreads,Spreadable fats,Animal fats,Dairy spreads,Milkfat,Butters,ghee",
0400301779002,Children’s Zyrtec,Unknown Brand,"Non alimentaire, Open Products Facts",
0400545237006,nan,,Chetak43,
0400545600602,nan,,,
0400640038003,nan,,Biscuit,
0400710881003,nan,,,
04024701,0402F4701TCE,,,
0404084683171,nan,,,
0404543377849,nan,,,
0406491049687,Sapphire poko loko watermelon juice drink,Sapphire,beverages,
0408441024003,nan,,,
0411319010664,nan,,,
04115746,betty chocker,betty chocker,,
0411946928004,Maaźa 250ml,,,
0412100030809,Nark Chilli gravy mix,,,
0415646044880,nan,,,
04183389,nan,,,
0421240368277,Khara boondi,Town bus,,
0431627066061,nan,,,
0433624903592,nan,,,
0435910593302,nan,,,
0440920169607,nan,Unknown Brand,Candy,
0444233459950,Nevieya perfiyum,,,
0446445508525,nan,,,
0446447369353,nan,,Dairies,
0446614603303,nan,,,
04469568,kissan,,,
0449414862802,Amul Gold 500ml,,,
0452345345435,kabuli chana,,,
0455493372040,nan,,,
04621831,Green Tea,Lipton,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Hot beverages,Plant-based beverages,Teas",
04626183,hira tabaku,,,
0463045053255,nan,,,
0464400004035,nan,,,
0464543490818,nan,,,
0487559401869,Pizza pasta saus3,Veeba,,
04904167,Maneli almond american,,,
04934345,nan,,,
0501009036200,nan,,,
0502872019369,Chicken Jerky Myth Mughlai,Doki,,
0505591378021,NATURES FARM,JAGGERY,,
0509043466960,nan,,,
0513125239281,Chart Puri,,,
0532319780606,Dark Fantasy Choco Fills,,,
