barcode,product_name,brands,categories,slug,seo_status,seo_quality_score,has_ingredients,banned_reasons,ingredients_text,additives_tags
8902433005732,Galaxy Fusions,Unknown Brand,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Dark chocolate bar",galaxy-fusions-8902433005732,INDEX,85,True,,"cocoa mass, sugar, cocoa butter, emulsifiers (322), natural flavour (vanilla) total cocoa content: 70%.",['en:e322']
8906027945923,Organic Cilantro & Lime Rice,Reganic,en:rices,organic-cilantro-lime-rice-8906027945923,INDEX,85,True,,"water, organic long grain white rice, organic sunflower oil, organic chopped cilantro, salt, organic lime juice, natural flavors (lime and cilantro).",[]
8906059636936,Epigamia Everyday Yogurt Mango,Epigamia,Fruit yogurts,epigamia-everyday-yogurt-mango-8906059636936,INDEX,100,True,[Tartrazine (INS 102 - EU Warning Label)] [Sunset Yellow (INS 110 - EU Warning Label)] ,"pasteurized double toned milk (86%), sugar, milk solids (3%), nature identical flavouring substances (mango), stabilizer (ins 440), permitted lactic acid cultures, colour (ins 102, ins 110) active live cultures: s.thermophilus, l.bacillus delbrueckii subsp. bulgaricus allergens: contains <span class=""allergen"">milk</span>. manufactured in a facility processing milk, nuts & cereals containing gluten.","['en:e102', 'en:e110', 'en:e440']"
8906161390955,Let's Try Kerala Garlic Mix,Let's Try,Snacks,lets-try-kerala-garlic-mix-8906161390955,INDEX,85,True,,"gram flour, chikpeas, rice flakes, <span class=""allergen"">peanut</span>, lentil, refined groundnut oil, garlic, lodised salt *spices & condiments (black salt, dry mango powder, cumin seeds, powder, coriander seeds powder, nutmeg powder, fennel seeds, cardamom, casia clove & asafoetida), acidity regulator (ins-330)",['en:e330']
8906080604744,paperboat Swing Coconut Water,paperboat,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Dairy substitutes,Milk substitutes,Plant-based beverages,Plant-based milk alternatives,Coconut-based drinks",paperboat-swing-coconut-water-8906080604744,INDEX,100,True,,"water, coconut water concentrate (4.3%)*, sugar, mineral (potassium chloride), nature-identical flavouring substances, iodised salt, preservatives (242, 202 224), acidity regulator (citric acid) and antioxidant (ascorbic acid).","['en:e224', 'en:e242', 'en:e300', 'en:e330']"
8901719125683,Full Toss Baked,Parle,"Snacks,Salty snacks,Appetizers,Biscuits and crackers,Chips and fries,Crisps,Crackers (Appetizers),Puffed salty snacks",full-toss-baked-8901719125683,INDEX,85,True,,"rice meal (55%), corn meal (27%), refined palmolein oil, seasoning [sugar, odise salt, spices & condiments (1.6%) (chilli, garlic),dehydrated onion, refined wheat flour (maida), acidity regulators (330,262, 334),cheese powder, cream analogue, yeast extract powder, flavour enhancer (631, 627), anticaking agent (551), 341 (i) 1,gram meal(3.5%). contains added flavours - natural, nature identical flavouring substances * used as natural flavouring agents contains: <span class=""allergen"">wheat</span> & <span class=""allergen"">milk</span>. lacko (category-15.1)","['en:e262', 'en:e330', 'en:e334', 'en:e341', 'en:e551', 'en:e627', 'en:e631']"
8908018906807,Troo Good Magic Masala Jowar Ribbons,Troo Good,"Snacks,Salty snacks,Appetizers,Chips and fries,Crisps",troo-good-magic-masala-jowar-ribbons-8908018906807,INDEX,100,True,,"jowar flour, refined edible oil, bengal gram flour, rice flour, sesame seeds, iodised salt, chilli powder, mustard, fenugreek, turmeric, flavour enhancer (820), spices and condiments",[]
8908020710102,Coffee Fudge,wholy,Fudge,coffee-fudge-8908020710102,INDEX,100,True,,"cake: atta (whole wheat flour), prebiotic fiber (fructooligosaccharides), edible vegetable oil (sunflower), dark compound no added sugar (maltitol, edible vegetable oil, cocoa solids, emulsifier (soy lecithin), vanillin), cocoa solids 6%, milk solids, coffee, brown rice syrup, corn syrup solids, erythritol, vegetable glycerin, modified starch (ins 1422), plant based emulsifier (ins 471, ins 477), baking powder, salt chocolate filling: jaggery, edible vegetable fat, edible vegetable oil, cocoa solids, emulsifier (soy lecithin), vanillin contains added nature identical flavors (vanilla, chocolate) contains oligofructose (dietary fiber) 9.1gm/100gm allergens: gluten, dairy, soy, nuts and tree nuts polyols may also have laxative side effects","['en:e1422', 'en:e14xx', 'en:e322', 'en:e322i', 'en:e422', 'en:e471', 'en:e477', 'en:e965', 'en:e968']"
8903363010988,Udid Dal,DMart Premia,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Legumes,Seeds,Legume seeds",udid-dal-8903363010988,INDEX,100,True,,black gram split,[]
8906007280105,Fortune Refined Soyabean Oil,Fortune,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Fats,Vegetable fats,Vegetable oils,Legume oils,Soybean oils",fortune-refined-soyabean-oil-8906007280105,INDEX,100,True,,"refined soyabean oil, permitted antioxidant tbhq (e 319)",['en:e319']
