barcode,product_name,brands,categories,fssai_category_code,banned_item,banned_item_type,banned_in_jurisdictions,violation_reason,needs_verification,verification_reason,data_source,last_cleaned,is_verified,platform
58496457532,Milk Chocolate M&M's,Mars,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Bonbons",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),['EU'],Banned in EU according to additive rulebook. Functional Class: Colorant.,True, | Non-standard barcode length,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
28000115678,"Maggi, bouillon, chicken",Maggi,,CAT_06,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,True, | Non-standard barcode length,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
28000115678,"Maggi, bouillon, chicken",Maggi,,CAT_06,Partially Hydrogenated Oil (PHO),Ingredient (Null INS),"['US', 'CA']",Banned in US (FDA 2018 GRAS revocation) and Canada due to industrial trans fats.,True, | Non-standard barcode length,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
2867633,refined soya bean oil,Fortune,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Fats, Vegetable fats, Vegetable oils, Legume oils, Soybean oils",CAT_14,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,True, | Non-standard barcode length,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
5000112659948,Hawaii Tropical,Coca-Cola Company,,Unknown,Quinoline Yellow (E104),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
5000112659948,Hawaii Tropical,Coca-Cola Company,,Unknown,Ponceau 4R (E124),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
5060896625348,Енергийна напитка,"Monster, Monster Monarch",,Unknown,Carmoisine / Azorubine (E122),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
38000768620,"Rice cereal, chocolatey, sweetened",Kellogg's,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Chocolate cereals",CAT_14,Partially Hydrogenated Oil (PHO),Ingredient (Null INS),"['US', 'CA']",Banned in US (FDA 2018 GRAS revocation) and Canada due to industrial trans fats.,True, | Non-standard barcode length,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
28000703196,Caldo Sabor A Pollo,Maggi,,CAT_06,Partially Hydrogenated Oil (PHO),Ingredient (Null INS),"['US', 'CA']",Banned in US (FDA 2018 GRAS revocation) and Canada due to industrial trans fats.,True, | Non-standard barcode length,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
38000207716,"Caticorn berry purrr-fection with glittery sparkles cereal, caticorn berry purrr-fection with glittery sparkles",Kellogg's,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products",CAT_14,Erythrosine (E127),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,True, | Non-standard barcode length,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
